perfil,Realizó una acción en la aplicación
Manifold,Realizó una acción en la aplicación
Peter,Realizó una acción en la aplicación
Peco,abrir configuracion
Colo,abrir configuracion,10-05-23 16:55:09
Manifold,Entró a ventana de ayuda,10-05-23 17:13:02
Peter,Entró a ventana de ayuda,10-05-23 17:14:07
Manifold,Entró a ventana de ayuda,10-05-23 17:17:21
Peco,abrir configuracion,10-05-23 17:17:52
Peter,Entró a ventana de ayuda,10-05-23 17:20:09
Manifold,Entró a ventana de ayuda,10-05-23 17:22:45
Goku,generar colagge,10-05-23 17:22:53
Matecito,abrir configuracion,10-05-23 17:23:56
Peter,Entró a generar un collage,11-05-23 10:57:28
Peter,Entró a generar un collage,11-05-23 11:50:29
Peter,Entró a ventana de ayuda/saobre la app,11-05-23 11:58:19
Manifold,Entró a ventana de configuracion y realizó cambios,11-05-23 12:26:09
Peter,Entró a ventana de configuracion y no generó cambios,11-05-23 12:26:23
Peter,Entró a ventana de configuracion cambió las rutas de {config_datos},11-05-23 12:32:23
Manifold,Entró a ventana de configuracion cambió las rutas de {config_datos},11-05-23 12:33:21
Peter,Entró a generar un collageHizo una selección de imagenes para un collage,11-05-23 12:37:08
Peter,Entró a generar un collage. Hizo una selección de imagenes para un collage,11-05-23 12:38:04
Peco,Entró a generar un meme. No generó un meme.,11-05-23 12:40:40
