User,Action,Time,Values,Texts
Gandalf,Creo nuevo perfil.,04-06-23 17:40:28,,
Gandalf,Cerró sesión,04-06-23 17:40:28,,
Galadriel,Creo nuevo perfil.,04-06-23 17:40:28,,
Galadriel,Cerró sesión,04-06-23 17:40:28,,
Anillo,Creo nuevo perfil.,05-06-23 17:42:24,,
Anillo,Cerró sesión,05-06-23 17:42:24,,
Leo,Creo nuevo perfil.,05-06-23 17:42:24,,
Leo,Cerró sesión,05-06-23 17:42:24,,
Manny,Creo nuevo perfil.,07-06-23 17:42:24,,
Manny,Cerró sesión,07-06-23 17:42:24,,
Guybrush,Creo nuevo perfil.,07-06-23 17:42:24,,
Guybrush,Cerró sesión,07-06-23 17:42:24,,
Gandalf,Inició sesión.,10-06-23 17:51:35,,
Gandalf,Entró a ventana de configuracion y cambió las rutas,10-06-23 17:51:35,,
Gandalf,Guardó información nueva en las imágenes del directorio,10-06-23 17:51:35,,
Gandalf,Creó un collage,10-06-23 17:51:35,"['The-Lord-of-the-Rings.jpg', 'anillomano.jpg']",El Señor de los Anillos
Gandalf,El usuario editó su perfil.,10-06-23 17:51:35,,
Gandalf,Cerró sesión,10-06-23 17:51:35,,
Galadriel,Inició sesión.,17-06-23 17:51:38,,
Galadriel,Modificó información en las imágenes del directorio,17-06-23 17:52:00,,
Galadriel,Generó un meme,17-06-23 17:52:44,['Batman_golpea_robin.png'],Quiero quedarmelo Hay que destruirlo
Galadriel,Generó un meme,17-06-23 17:53:57,['novio_mira_otra_mujer.png'],Anillo Boromir Frodo
Galadriel,Cerró sesión,17-06-23 17:54:02,,
Anillo,Inició sesión.,18-06-23 17:54:06,,
Anillo,Modificó información en las imágenes del directorio,18-06-23 17:54:06,,
Anillo,Creó un collage,18-06-23 17:54:06,"['comarca.jpg', 'The-Lord-of-the-Rings.jpg', 'anillomano.jpg']",Recuerdos
Anillo,El usuario editó su perfil.,18-06-23 17:54:06,,
Anillo,Cerró sesión,18-06-23 17:54:06,,
Leo,Inició sesión.,19-06-23 17:55:42,,
Leo,Guardó información nueva en las imágenes del directorio,19-06-23 17:55:42,,
Leo,Creó un collage,19-06-23 17:55:42,"['Maradona-Mundial_86_con_la_copa.JPG', 'alrihla.jpg', 'campeones.webp', 'Maradona-Mundial_86_con_la_copa.JPG']",Mundiales
Leo,Generó un meme,19-06-23 17:55:42,['seguro_esta_pensando_en_otra.png'],Seugro va a ir al Manchester City Qué ganas de ir a Miami
Leo,Cerró sesión,19-06-23 17:55:42,,
Manny,Inició sesión.,20-06-23 17:55:42,,
Manny,Guardó información nueva en las imágenes del directorio,20-06-23 17:55:42,,
Manny,Creó un collage,20-06-23 17:55:42,"['Grim-Fandango.jpg', 'anillomano.jpg']",Collage random
Manny,Creó un collage,20-06-23 17:55:42,"['Grim-Fandango.jpg', 'anillomano.jpg']",Juegos y películas
Manny,El usuario editó su perfil.,20-06-23 17:55:42,,
Manny,Cerró sesión,20-06-23 17:55:42,,
Guybrush,Inició sesión.,20-06-23 17:55:42,,
Guybrush,Guardó información nueva en las imágenes del directorio,20-06-23 17:55:42,,
Guybrush,Cerró sesión,20-06-23 17:55:42,,
Gandalf,Inició sesión.,17-06-23 18:07:44,,
Gandalf,Entró a ventana de configuracion y cambió las rutas,17-06-23 18:07:58,,
Gandalf,Creó un collage,17-06-23 18:08:43,"['rivendell.jpg', 'mordor.jpg', 'comarca.jpg']",Paisajes Tierra Media
Gandalf,Cerró sesión,17-06-23 18:08:46,,
Gandalf,Inició sesión.,19-06-23 10:51:28,,
Gandalf,Inició sesión.,19-06-23 10:58:45,,
Gandalf,Inició sesión.,19-06-23 11:07:26,,
Gandalf,Entró a ventana de configuracion y cambió las rutas,19-06-23 11:08:29,,
Gandalf,Cerró sesión,19-06-23 11:12:46,,
Gandalf,Inició sesión.,19-06-23 11:12:49,,
Gandalf,Cerró sesión,19-06-23 11:13:09,,
Gandalf,Inició sesión.,19-06-23 11:13:40,,
Gandalf,Cerró sesión,19-06-23 11:15:19,,
Gandalf,Inició sesión.,19-06-23 11:18:39,,
Gandalf,Cerró sesión,19-06-23 11:26:54,,
Gandalf,Inició sesión.,19-06-23 11:26:59,,
Gandalf,Cerró sesión,19-06-23 11:28:02,,
Gandalf,Inició sesión.,19-06-23 11:28:47,,
Gandalf,Cerró sesión,19-06-23 11:40:37,,
Gandalf,Inició sesión.,19-06-23 11:40:40,,
Gandalf,Entró a generar un collage pero no lo guardó.,19-06-23 11:41:19,,
Gandalf,Cerró sesión,19-06-23 11:41:37,,
Peter,Creo nuevo perfil.,19-06-23 11:49:02,,
Peter,Cerró sesión,19-06-23 11:54:13,,
Gandalf,Inició sesión.,19-06-23 11:54:17,,
Gandalf,Guardó información nueva en las imágenes del directorio,19-06-23 11:55:52,,
Gandalf,Entró a generar un collage pero no lo guardó.,19-06-23 11:56:31,,
Gandalf,Creó un collage,19-06-23 11:57:13,"['IMG_20201015_172433_1.jpg', 'IMG_20201015_173249.jpg']",Perritos de papel
Gandalf,Creó un collage,19-06-23 11:58:00,"['IMG-20210305-WA0067.jpg', 'IMG_20220809_170540.jpg']",Más animales!
Gandalf,Cerró sesión,19-06-23 11:58:04,,
Gandalf,Inició sesión.,19-06-23 11:59:46,,
Gandalf,Cerró sesión,19-06-23 11:59:56,,
Gandalf,Inició sesión.,23-06-23 18:12:27,,
Gandalf,El usuario editó su perfil.,23-06-23 18:12:36,,
Gandalf,Modificó información en las imágenes del directorio,23-06-23 18:13:51,,
Gandalf,Entró a generar un collage pero no lo guardó.,23-06-23 18:14:39,,
Gandalf,Cerró sesión,23-06-23 18:14:42,,
Gandalf,Inició sesión.,23-06-23 18:15:40,,
Gandalf,Cerró sesión,23-06-23 18:15:44,,
Peter,Inició sesión.,23-06-23 18:15:52,,
Peter,Modificó información en las imágenes del directorio,23-06-23 18:16:51,,
Peter,Cerró sesión,23-06-23 18:17:23,,
Anillo,Inició sesión.,23-06-23 18:17:30,,
Anillo,El usuario editó su perfil.,23-06-23 18:17:43,,
Anillo,Cerró sesión,23-06-23 18:17:45,,
Anillo,Inició sesión.,23-06-23 18:18:06,,
Anillo,Cerró sesión,23-06-23 18:18:12,,
Anillo,Inició sesión.,23-06-23 18:19:12,,
Anillo,El usuario editó su perfil.,23-06-23 18:19:16,,
Anillo,Cerró sesión,23-06-23 18:19:17,,
Anillo,Inició sesión.,23-06-23 18:23:00,,
Anillo,El usuario editó su perfil.,23-06-23 18:23:05,,
Anillo,Entró a ventana de configuracion y cambió las rutas,23-06-23 18:24:14,,
Anillo,Cerró sesión,23-06-23 18:26:03,,
